data_structure,null_model,bf
null_none,C1,1154564017215676e7
null_none,C2,4592104252176878e28
null_none,A,3933903166130748e49
null_none,B,701595.0261202803
null_none,C1,13125493221988074e9
null_none,C2,2997146925907972e24
null_none,A,27342229020675114e55
null_none,B,40833.92436484175
null_none,C1,44401688625656935e8
null_none,C2,6157925490445371e31
null_none,A,15421960879506815e59
null_none,B,25496.887568395134
null_none,C1,2284100858139678e17
null_none,C2,6751873860801075e27
null_none,A,17747423056450224e53
null_none,B,488949.9059108818
null_none,C1,27460052215424183e8
null_none,C2,6462996835265057e29
null_none,A,707244886139923e48
null_none,B,66887.44576031843
null_none,C1,6386413247926934e3
null_none,C2,11074211121077997e28
null_none,A,24578291427417916e58
null_none,B,1481.4209609310892
null_none,C1,45542685221944803e11
null_none,C2,5396759393443754e31
null_none,A,8750127383408007e48
null_none,B,2604.4188892733305
null_none,C1,16426032892235104e6
null_none,C2,5326987618260741e26
null_none,A,4092846981673276e70
null_none,B,171207.13797487237
null_none,C1,4935496300586946e22
null_none,C2,8292675614378521e32
null_none,A,16375742007226444e56
null_none,B,4464769840.073798
null_none,C1,6219219819868347e12
null_none,C2,2633086220061136e29
null_none,A,20575491824393942e54
null_none,B,5129894.08297857
null_none,C1,32969769188166195e6
null_none,C2,6240714548823436e32
null_both,A,0.001111118949354692
null_both,B,0.125079145214682
null_both,C1,0.008381177939580441
null_both,C2,0.13257312484768868
null_both,A,0.0016861885838190787
null_both,B,0.061260128541280545
null_both,C1,0.03330034415121279
null_both,C2,0.05063577049421179
null_both,A,0.0011155179301168211
null_both,B,0.08775410022564188
null_both,C1,0.012841942824294841
null_both,C2,0.08686519986730085
null_both,A,8.988433766498343e-4
null_both,B,0.07381781685090975
null_both,C1,0.012150901739607079
null_both,C2,0.073973388635015
null_both,A,9.589360183114729e-4
null_both,B,0.07831714769201419
null_both,C1,0.012108389803703733
null_both,C2,0.07919599830013335
null_both,A,0.001217549565070514
null_both,B,0.10859656529842801
null_both,C1,0.011106036669235304
null_both,C2,0.1096295286367308
null_both,A,0.011995584596388015
null_both,B,0.584397965213481
null_both,C1,0.014544732614506744
null_both,C2,0.8247373749878194
null_both,A,0.0010191126086365639
null_both,B,0.06968604648069268
null_both,C1,0.01540559144320815
null_both,C2,0.06615212485632022
null_both,A,8.07880476849158e-4
null_both,B,0.05391277700379064
null_both,C1,0.017190934680213838
null_both,C2,0.04699456381385708
null_both,A,8.936755425871843e-4
null_both,B,0.05823949411534131
null_both,C1,0.015521550201764647
null_both,C2,0.057576436049898046
null_both,A,6.085475774938338e-4
null_both,B,0.0647610724736667
null_both,C1,0.009852375753134883
null_both,C2,0.06176658226826182
null_both,A,0.0014570658574112286
null_both,B,0.10970365422291586
null_both,C1,0.012564235915278764
null_both,C2,0.11596931697528544
null_both,A,0.0012114504801163857
null_both,B,0.05291332074935058
null_both,C1,0.02367747477306005
null_both,C2,0.051164682540165124
null_both,A,5.671975329269029e-4
null_both,B,0.05663540006852487
null_both,C1,0.009903692350114651
null_both,C2,0.05727131991537849
null_both,A,0.0023562228044093163
null_both,B,0.24667834849219678
null_both,C1,0.008945121202947458
null_both,C2,0.2634087063720199
null_both,A,0.0015496251316358537
null_both,B,0.09146038839825715
null_both,C1,0.016422608768914094
null_both,C2,0.09435925518539395
null_both,A,0.0015696718327759729
null_both,B,0.07149677786702348
null_both,C1,0.023653040024564705
null_both,C2,0.066362371650570115
null_both,A,0.0011593554422064875
null_both,B,0.05934710727929227
null_both,C1,0.020015878799378738
null_both,C2,0.057921785689593205
null_both,A,7.076018863376472e-4
null_both,B,0.050495466348220504
null_both,C1,0.01505319087763802
null_both,C2,0.04700677033125327
null_both,A,6.420563284241676e-4
null_both,B,0.05949937964776962
null_both,C1,0.010456408320186765
null_both,C2,0.06140314233756889
null_both,A,0.035613292382649445
null_both,B,1.1421114416344573
null_both,C1,0.01662164777450426
null_both,C2,2.142584951010467
null_both,A,0.0038897752280121108
null_both,B,0.35595660540140267
null_both,C1,0.009617289161246092
null_both,C2,0.4044565118917689
null_both,A,7.407513795870125e-4
null_both,B,0.0930351226267688
null_both,C1,0.007620956513265072
null_both,C2,0.09719926603670515
null_both,A,6.004508521355822e-4
null_both,B,0.04866859311300982
null_both,C1,0.012569544677033535
null_both,C2,0.0477702945940991
null_re,A,6173056396190857e85
null_re,B,185445393799318300
null_re,C1,0.008289700658015623
null_re,C2,7446657787602963e87
null_re,A,5871306192509326e80
null_re,B,12604901701420.867
null_re,C1,0.03254374702300163
null_re,C2,18041272839171036e81
null_re,A,22811397215769812e85
null_re,B,19319035970583252
null_re,C1,0.012589914620618816
null_re,C2,18118786269139065e87
null_re,A,6754024655570556e78
null_re,B,9382935183727794
null_re,C1,0.012203103121975459
null_re,C2,5534678014322393e80
null_re,A,17966890227446818e79
null_re,B,2045104430875382
null_re,C1,0.012230944997104578
null_re,C2,14689699145650939e81
null_re,A,1216989503815512e81
null_re,B,12638682322290078
null_re,C1,0.010698217258050901
null_re,C2,11375628989957928e82
null_re,A,2882165185480115e88
null_re,B,9074499893746952
null_re,C1,0.014290976738132751
null_re,C2,20167727079071137e89
null_re,A,43163944034543215e85
null_re,B,1878517736697983
null_re,C1,0.016008431265608594
null_re,C2,26963256622948214e87
null_re,A,12189980897156105e76
null_re,B,344456898016523.4
null_re,C1,0.016901682449215416
null_re,C2,7212288441569843e78
null_re,A,3528048095497165e80
null_re,B,37558476041623234e4
null_re,C1,0.015817016308793102
null_re,C2,22305395825733443e81
null_re,A,3058605894966742e89
null_re,B,63437421393984510
null_re,C1,0.009743887247835795
null_re,C2,3138999679666948e91
null_re,A,1.9404324608559746e+99
null_re,B,11426769542883747e8
null_re,C1,0.013150217672757418
null_re,C2,14755896131482764e85
null_re,A,16037466842766898e79
null_re,B,3688484231965368
null_re,C1,0.02518466501904181
null_re,C2,6367949238411922e81
null_re,A,752226276049584e74
null_re,B,20449329517135468
null_re,C1,0.010025547927502744
null_re,C2,7503093910568653e75
null_re,A,3216290357909104e90
null_re,B,412065027354573950
null_re,C1,0.008669616722354225
null_re,C2,3709841462329056e92
null_re,A,10363641564420836e88
null_re,B,7757104935989405
null_re,C1,0.015575498111433128
null_re,C2,665381067769091e91
null_re,A,4416414418009214e67
null_re,B,24268079849454.59
null_re,C1,0.022197740452224113
null_re,C2,198957836610202e70
null_re,A,8470903079272504e90
null_re,B,418374770726445.75
null_re,C1,0.021334397870503417
null_re,C2,397053768786427e93
null_re,A,12587446861127167e80
null_re,B,25620364539867436
null_re,C1,0.015434239264286975
null_re,C2,8155534358115872e82
null_re,A,8385770791961793e75
null_re,B,27399658383839784
null_re,C1,0.010490477959840826
null_re,C2,7993697545587476e77
null_re,A,515824355077269e94
null_re,B,765546570316306e5
null_re,C1,0.016986099676191743
null_re,C2,3036743954824765e95
null_re,A,26357619566866082e91
null_re,B,174748038398070880
null_re,C1,0.009458981783791488
null_re,C2,27865176368169996e93
null_re,A,14896957749867496e82
null_re,B,959042453904506200
null_re,C1,0.007666851783303312
null_re,C2,1943034529806636e85
null_re,A,15598087888064114e78
null_re,B,41457233528000456
null_re,C1,0.012682075275064368
null_re,C2,12299318171319428e80
null_fe,A,39576059630355326e15
null_fe,B,0.32936086022645317
null_fe,C1,459707112044038e18
null_fe,C2,0.08608972668355
null_fe,A,4213184636552047e23
null_fe,B,0.2778624576514391
null_fe,C1,3529714316514878e24
null_fe,C2,0.11936333251785672
null_fe,A,334937055243292e18
null_fe,B,0.08210215691069782
null_fe,C1,3118351693678743e18
null_fe,C2,0.1074083644645496
null_fe,A,17086685629124172e11
null_fe,B,0.47310200583402384
null_fe,C1,18232290659175772e12
null_fe,C2,0.09371661492531631
null_fe,A,26649958452374693e24
null_fe,B,0.29666005628914804
null_fe,C1,18125732296996675e25
null_fe,C2,0.14702831320525697
null_fe,A,6708844250604813e6
null_fe,B,0.30645472221291764
null_fe,C1,29576362817131116e6
null_fe,C2,0.22683128050887108
null_fe,A,24066187005644563e9
null_fe,B,0.2775144056866096
null_fe,C1,25047537209077103e10
null_fe,C2,0.0960820491242672
null_fe,A,4132090882280354e11
null_fe,B,0.35891744205020504
null_fe,C1,7895215641710619e11
null_fe,C2,0.5233664373206497
null_fe,A,5933115684622675e11
null_fe,B,0.18300008859574624
null_fe,C1,7291188292050229e12
null_fe,C2,0.08137378225565377
null_fe,A,32280555410116546e9
null_fe,B,0.17479161538706428
null_fe,C1,24726328183836596e10
null_fe,C2,0.13055135064986353
null_fe,A,10277456508404737e15
null_fe,B,0.04820720670289724
null_fe,C1,7977178373759011e16
null_fe,C2,0.12883573648312174
null_fe,A,25495706279752736e13
null_fe,B,0.261453972284464
null_fe,C1,26763361264055674e14
null_fe,C2,0.09526346869589414
null_fe,A,4592725790357003e9
null_fe,B,0.14477295823267533
null_fe,C1,5451178339547232e10
null_fe,C2,0.08425198194375105
null_fe,A,140995191357478e11
null_fe,B,0.5452781803458462
null_fe,C1,17922409614236016e10
null_fe,C2,0.07866977398255846
null_fe,A,38380307836684356e10
null_fe,B,0.27984217266124084
